id,objective,theta0,theta1
84.0,2.035106776867009E-7,4.007759006689207E-4,0.9994080407845665,
85.0,1.72383963298844E-7,3.688556406827584E-4,0.9994551880607033,
86.0,1.4601804259311783E-7,3.3947770670942923E-4,0.9994985802375206,
87.0,1.2368475787830983E-7,3.1243961225419967E-4,0.9995385163942452,
88.0,1.0476732230996214E-7,2.8755499809326817E-4,0.9995752717895932,
89.0,8.874328585254273E-8,2.646523477988393E-4,0.999609099758982,
90.0,7.517010657778914E-8,2.435738055671897E-4,0.999640233460637,
91.0,6.367292881520623E-8,2.2417408820262733E-4,0.9996688874826269,
92.0,5.393423062011989E-8,2.0631948375747795E-4,0.9996952593219056,
93.0,4.568505464896394E-8,1.8988692992690643E-4,0.9997195307455539,
94.0,3.869758026177402E-8,1.747631658454477E-4,0.999741869043603,
95.0,3.277883171254274E-8,1.608439514403913E-4,0.9997624281820764,
96.0,2.7765348664470248E-8,1.4803334896002662E-4,0.9997813498641956,
97.0,2.3518671843477786E-8,1.3624306172583628E-4,0.9997987645070652,
98.0,1.992151915560009E-8,1.253918255503722E-4,0.9998147921405686,
99.0,1.6874546662670484E-8,1.1540484862630846E-4,0.9998295432346704,
